,year,cases
0,1970,42
1,1971,94
2,1972,80
3,1973,174
4,1974,106
5,1975,97
6,1976,60
7,1977,33
8,1978,26
9,1979,31
10,1980,17
11,1981,13
12,1982,3
13,1983,18
14,1984,14
15,1985,6
16,1986,14
17,1987,12
18,1988,9
19,1989,6
20,1990,9
21,1991,1
22,1992,9
23,1993,3
24,1994,0
25,1995,7
26,1996,2
27,1997,1
28,1998,0
29,1999,1
30,2000,0
31,2001,0
32,2002,1
33,2003,0
34,2004,0
35,2005,0
36,2006,0
37,2007,0
38,2008,0
39,2009,0
40,2010,0
41,2011,0
42,2012,0
43,2013,0
44,2014,0
45,2015,0
46,2016,0
47,2017,0
48,2018,0
49,2019,0
50,2020,0
51,2021,1
