,year,cases
0,1958,22
1,1959,38
2,1960,28
3,1961,1
4,1962,2
5,1963,1
6,1964,6
7,1965,0
8,1966,0
9,1967,0
10,1968,1
11,1969,1
12,1970,2
13,1971,2
14,1972,2
15,1973,2
16,1974,1
17,1975,1
18,1976,0
19,1977,1
20,1978,0
21,1979,1
22,1980,0
23,1981,1
24,1982,0
25,1983,1
26,1984,0
27,1985,2
28,1986,2
29,1987,0
30,1988,0
31,1989,1
32,1990,1
33,1991,0
34,1992,0
35,1993,0
36,1994,1
37,1995,0
38,1996,2
39,1997,1
40,1998,0
41,1999,2
42,2000,0
43,2001,1
44,2002,0
45,2003,3
46,2004,0
47,2005,0
48,2006,1
49,2007,0
50,2008,0
51,2009,0
52,2010,0
53,2011,0
54,2012,0
55,2013,0
56,2014,1
57,2015,0
58,2016,0
59,2017,0
60,2018,0
61,2019,0
62,2020,0
63,2021,0
